id,address,number,postal_code,municipality,province,unique_address,points_coordinates,lat,lng
11699.0,place saint-sébastien,15,1420,braine-l alleud,brabant wallon,"place saint-sébastien,15,1420,braine-l alleud,brabant wallon","(4.3839992, 50.678624)",50.678624,4.3839992
11716.0,rue louis lallieux,22,1470,baisy-thy,brabant wallon,"rue louis lallieux,22,1470,baisy-thy,brabant wallon","(4.4539305, 50.6140723)",50.6140723,4.4539305
11725.0,avenue des commandants borlée,16,1370,jodoigne,brabant wallon,"avenue des commandants borlée,16,1370,jodoigne,brabant wallon","(4.873857, 50.7233972)",50.7233972,4.873857
11735.0,rue tiennes à 2 vallées,6,1400,nivelles,brabant wallon,"rue tiennes à 2 vallées,6,1400,nivelles,brabant wallon","(4.4948764, 50.6696053)",50.6696053,4.4948764
11736.0,avenue j.f kennedy,1,1330,rixensart,brabant wallon,"avenue j.f kennedy,1,1330,rixensart,brabant wallon","(4.5205076, 50.7113131)",50.7113131,4.5205076
11744.0,rue du balli,26,1480,tubize,brabant wallon,"rue du balli,26,1480,tubize,brabant wallon","(4.2065513, 50.6947051)",50.6947051,4.2065513
11746.0,chaussée de louvain,281,1410,waterloo,brabant wallon,"chaussée de louvain,281,1410,waterloo,brabant wallon","(4.4260999, 50.7025928)",50.7025928,4.4260999
11747.0,avenue des princes,9,1300,wavre,brabant wallon,"avenue des princes,9,1300,wavre,brabant wallon","(4.617146099999999, 50.7159285)",50.7159285,4.617146099999999
11749.0,rue de mont des carliers,3,7522,tournai,hainaut,"rue de mont des carliers,3,7522,tournai,hainaut","(3.3251254, 50.61962579999999)",50.61962579999999,3.3251254
11752.0,oostberg,155,9140,temse,oost-vlaanderen,"oostberg,155,9140,temse,oost-vlaanderen","(4.2479643, 51.1275524)",51.1275524,4.2479643
11753.0,autoweg-zuid,3,9051,gent (afsnee),oost-vlaanderen,"autoweg-zuid,3,9051,gent (afsnee),oost-vlaanderen","(3.662558499999999, 51.025839)",51.025839,3.662558499999999
11754.0,hogekouter,1,9100,sint-niklaas,oost-vlaanderen,"hogekouter,1,9100,sint-niklaas,oost-vlaanderen","(4.1269474, 51.1457582)",51.1457582,4.1269474
11755.0,ommersheimplein,2,8570,vichte,west-vlaanderen,"ommersheimplein,2,8570,vichte,west-vlaanderen","(3.3994672, 50.83782309999999)",50.83782309999999,3.3994672
11759.0,kruibeekstraat,24,2070,burcht,antwerpen,"kruibeekstraat,24,2070,burcht,antwerpen","(4.34148, 51.20367)",51.20367,4.34148
11760.0,kruibeeksteenweg,34,2070,burcht,antwerpen,"kruibeeksteenweg,34,2070,burcht,antwerpen","(4.3283077, 51.197167)",51.197167,4.3283077
11761.0,rue de fagnolle,7,5670,dourbes,namur,"rue de fagnolle,7,5670,dourbes,namur","(4.5927558, 50.0890327)",50.0890327,4.5927558
11762.0,legeweg,176,8200,brugge,west-vlaanderen,"legeweg,176,8200,brugge,west-vlaanderen","(3.1925692, 51.2090571)",51.2090571,3.1925692
11763.0,antwerpseweg,1,2440,geel,antwerpen,"antwerpseweg,1,2440,geel,antwerpen","(4.9734777, 51.1527678)",51.1527678,4.9734777
11767.0,molendreef,16,9920,lievegem,oost-vlaanderen,"molendreef,16,9920,lievegem,oost-vlaanderen","(3.6094387, 51.0974179)",51.0974179,3.6094387
